ID_Venda,Data,Produto,Categoria,Quantidade,Preco_Unitario,Total_Venda,Cidade,Canal_Venda
1001,2025-07-15,Notebook Dell XPS 13,Notebooks,5,8500,42500,Campinas,Loja Física
1002,2025-07-01,Headset Gamer HyperX,Fones de Ouvido,3,600,1800,São Paulo,Loja Física
1003,2025-07-08,Smartphone Galaxy S21,Smartphones,1,3500,3500,Rio de Janeiro,Online
1004,2025-07-17,"Smart TV 55"" LG",TVs,4,3900,15600,Salvador,Loja Física
1005,2025-07-20,Smartphone Galaxy S21,Smartphones,5,3500,17500,Recife,Online
1006,2025-07-19,Monitor LG UltraWide,Monitores,1,1600,1600,São Paulo,Loja Física
1007,2025-07-19,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1008,2025-07-14,Smartwatch Apple Watch 9,Smartwatches,2,4100,8200,Recife,Online
1009,2025-07-15,"Smart TV 55"" LG",TVs,1,3900,3900,Belo Horizonte,Loja Física
1010,2025-07-24,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1011,2025-07-07,Notebook Acer Aspire 5,Notebooks,4,3200,12800,Salvador,Online
1012,2025-07-12,Notebook Dell XPS 13,Notebooks,4,8500,34000,Campinas,Loja Física
1013,2025-07-11,Smartphone Galaxy S21,Smartphones,5,3500,17500,Belo Horizonte,Online
1014,2025-07-22,Monitor LG UltraWide,Monitores,4,1600,6400,Rio de Janeiro,Loja Física
1015,2025-07-15,Monitor LG UltraWide,Monitores,3,1600,4800,Campinas,Loja Física
1016,2025-07-14,Notebook Dell XPS 13,Notebooks,5,8500,42500,Campinas,Loja Física
1017,2025-07-07,Tablet Samsung Tab A8,Tablets,1,1500,1500,Fortaleza,Online
1018,2025-07-26,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Belo Horizonte,Loja Física
1019,2025-07-03,Notebook Acer Aspire 5,Notebooks,1,3200,3200,Fortaleza,Loja Física
1020,2025-07-30,Smartwatch Apple Watch 9,Smartwatches,1,4100,4100,Curitiba,Online
1021,2025-07-01,PlayStation 5,Consoles,1,4500,4500,Brasília,Loja Física
1022,2025-07-09,Headset Gamer HyperX,Fones de Ouvido,4,600,2400,Belo Horizonte,Online
1023,2025-07-15,Smartwatch Apple Watch 9,Smartwatches,2,4100,8200,Recife,Online
1024,2025-07-02,Notebook Dell XPS 13,Notebooks,4,8500,34000,Belo Horizonte,Loja Física
1025,2025-07-14,PlayStation 5,Consoles,2,4500,9000,Belo Horizonte,Loja Física
1026,2025-07-26,Tablet Samsung Tab A8,Tablets,5,1500,7500,São Paulo,Online
1027,2025-07-20,Smartphone Galaxy S21,Smartphones,3,3500,10500,Curitiba,Online
1028,2025-07-01,Fone Bluetooth JBL,Fones de Ouvido,2,350,700,Fortaleza,Online
1029,2025-07-02,PlayStation 5,Consoles,2,4500,9000,Fortaleza,Online
1030,2025-07-18,Headset Gamer HyperX,Fones de Ouvido,2,600,1200,Campinas,Online
1031,2025-07-27,Monitor LG UltraWide,Monitores,2,1600,3200,São Paulo,Online
1032,2025-07-23,Notebook Acer Aspire 5,Notebooks,2,3200,6400,São Paulo,Online
1033,2025-07-06,PlayStation 5,Consoles,1,4500,4500,Curitiba,Loja Física
1034,2025-07-21,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Fortaleza,Loja Física
1035,2025-07-01,PlayStation 5,Consoles,4,4500,18000,São Paulo,Online
1036,2025-07-12,Smartphone Galaxy S21,Smartphones,4,3500,14000,Brasília,Loja Física
1037,2025-07-29,"Smart TV 55"" LG",TVs,4,3900,15600,Brasília,Online
1038,2025-07-26,Headset Gamer HyperX,Fones de Ouvido,1,600,600,Belo Horizonte,Loja Física
1039,2025-07-15,Monitor LG UltraWide,Monitores,3,1600,4800,Recife,Loja Física
1040,2025-07-31,Notebook Dell XPS 13,Notebooks,1,8500,8500,Fortaleza,Online
1041,2025-07-29,PlayStation 5,Consoles,1,4500,4500,São Paulo,Loja Física
1042,2025-07-27,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Rio de Janeiro,Loja Física
1043,2025-07-26,Smartwatch Apple Watch 9,Smartwatches,5,4100,20500,Porto Alegre,Loja Física
1044,2025-07-01,Headset Gamer HyperX,Fones de Ouvido,1,600,600,Fortaleza,Online
1045,2025-07-07,"Smart TV 55"" LG",TVs,4,3900,15600,Fortaleza,Online
1046,2025-07-03,Tablet Samsung Tab A8,Tablets,4,1500,6000,Salvador,Online
1047,2025-07-15,Notebook Acer Aspire 5,Notebooks,1,3200,3200,Rio de Janeiro,Loja Física
1048,2025-07-09,Fone Bluetooth JBL,Fones de Ouvido,4,350,1400,Campinas,Loja Física
1049,2025-07-10,"Smart TV 55"" LG",TVs,3,3900,11700,Belo Horizonte,Loja Física
1050,2025-07-28,PlayStation 5,Consoles,3,4500,13500,Brasília,Loja Física
1051,2025-07-28,Notebook Dell XPS 13,Notebooks,5,8500,42500,Brasília,Online
1052,2025-07-05,Headset Gamer HyperX,Fones de Ouvido,2,600,1200,Curitiba,Online
1053,2025-07-22,Headset Gamer HyperX,Fones de Ouvido,3,600,1800,Rio de Janeiro,Loja Física
1054,2025-07-14,Tablet Samsung Tab A8,Tablets,4,1500,6000,Porto Alegre,Online
1055,2025-07-13,PlayStation 5,Consoles,1,4500,4500,Curitiba,Loja Física
1056,2025-07-17,Tablet Samsung Tab A8,Tablets,4,1500,6000,Campinas,Loja Física
1057,2025-07-19,Tablet Samsung Tab A8,Tablets,5,1500,7500,Curitiba,Loja Física
1058,2025-07-22,Smartwatch Apple Watch 9,Smartwatches,2,4100,8200,Porto Alegre,Online
1059,2025-07-29,PlayStation 5,Consoles,4,4500,18000,Salvador,Loja Física
1060,2025-07-12,Notebook Acer Aspire 5,Notebooks,5,3200,16000,Fortaleza,Loja Física
1061,2025-07-17,"Smart TV 55"" LG",TVs,1,3900,3900,Belo Horizonte,Online
1062,2025-07-28,Tablet Samsung Tab A8,Tablets,1,1500,1500,Curitiba,Loja Física
1063,2025-07-11,"Smart TV 55"" LG",TVs,2,3900,7800,Fortaleza,Online
1064,2025-07-13,Notebook Acer Aspire 5,Notebooks,2,3200,6400,Salvador,Loja Física
1065,2025-07-29,Tablet Samsung Tab A8,Tablets,1,1500,1500,Fortaleza,Online
1066,2025-07-19,Smartphone Galaxy S21,Smartphones,2,3500,7000,Rio de Janeiro,Online
1067,2025-07-27,Notebook Dell XPS 13,Notebooks,4,8500,34000,Curitiba,Loja Física
1068,2025-07-03,Notebook Acer Aspire 5,Notebooks,1,3200,3200,Campinas,Loja Física
1069,2025-07-31,Smartphone Galaxy S21,Smartphones,3,3500,10500,Campinas,Online
1070,2025-07-06,"Smart TV 55"" LG",TVs,3,3900,11700,Belo Horizonte,Loja Física
1071,2025-07-08,Headset Gamer HyperX,Fones de Ouvido,5,600,3000,Fortaleza,Loja Física
1072,2025-07-21,Fone Bluetooth JBL,Fones de Ouvido,5,350,1750,Rio de Janeiro,Loja Física
1073,2025-07-08,Smartwatch Apple Watch 9,Smartwatches,5,4100,20500,Campinas,Loja Física
1074,2025-07-11,Notebook Acer Aspire 5,Notebooks,3,3200,9600,São Paulo,Online
1075,2025-07-27,Monitor LG UltraWide,Monitores,2,1600,3200,Salvador,Loja Física
1076,2025-07-29,Tablet Samsung Tab A8,Tablets,3,1500,4500,Fortaleza,Loja Física
1077,2025-07-30,Monitor LG UltraWide,Monitores,5,1600,8000,Brasília,Online
1078,2025-07-13,PlayStation 5,Consoles,5,4500,22500,Curitiba,Loja Física
1079,2025-07-25,Notebook Dell XPS 13,Notebooks,2,8500,17000,Curitiba,Loja Física
1080,2025-07-27,Monitor LG UltraWide,Monitores,2,1600,3200,Rio de Janeiro,Online
1081,2025-07-04,"Smart TV 55"" LG",TVs,5,3900,19500,Curitiba,Online
1082,2025-07-24,"Smart TV 55"" LG",TVs,2,3900,7800,Recife,Online
1083,2025-07-21,Smartphone Galaxy S21,Smartphones,3,3500,10500,Brasília,Loja Física
1084,2025-07-29,Tablet Samsung Tab A8,Tablets,1,1500,1500,São Paulo,Online
1085,2025-07-08,Tablet Samsung Tab A8,Tablets,3,1500,4500,Recife,Loja Física
1086,2025-07-11,Monitor LG UltraWide,Monitores,4,1600,6400,Porto Alegre,Loja Física
1087,2025-07-23,PlayStation 5,Consoles,3,4500,13500,Porto Alegre,Loja Física
1088,2025-07-26,Fone Bluetooth JBL,Fones de Ouvido,5,350,1750,Salvador,Online
1089,2025-07-31,Fone Bluetooth JBL,Fones de Ouvido,1,350,350,Rio de Janeiro,Loja Física
1090,2025-07-20,"Smart TV 55"" LG",TVs,2,3900,7800,Salvador,Online
1091,2025-07-01,Notebook Acer Aspire 5,Notebooks,2,3200,6400,Belo Horizonte,Online
1092,2025-07-29,Notebook Dell XPS 13,Notebooks,1,8500,8500,Fortaleza,Online
1093,2025-07-12,"Smart TV 55"" LG",TVs,5,3900,19500,Rio de Janeiro,Loja Física
1094,2025-07-23,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Brasília,Loja Física
1095,2025-07-26,"Smart TV 55"" LG",TVs,4,3900,15600,Belo Horizonte,Online
1096,2025-07-10,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Porto Alegre,Online
1097,2025-07-30,Smartphone Galaxy S21,Smartphones,4,3500,14000,São Paulo,Loja Física
1098,2025-07-26,Monitor LG UltraWide,Monitores,5,1600,8000,Brasília,Loja Física
1099,2025-07-15,Smartwatch Apple Watch 9,Smartwatches,5,4100,20500,São Paulo,Loja Física
1100,2025-07-04,Notebook Dell XPS 13,Notebooks,4,8500,34000,São Paulo,Loja Física
1101,2025-07-05,Notebook Dell XPS 13,Notebooks,3,8500,25500,Recife,Online
1102,2025-07-30,Monitor LG UltraWide,Monitores,1,1600,1600,Rio de Janeiro,Loja Física
1103,2025-07-13,Smartwatch Apple Watch 9,Smartwatches,1,4100,4100,Fortaleza,Loja Física
1104,2025-07-03,Fone Bluetooth JBL,Fones de Ouvido,2,350,700,Rio de Janeiro,Loja Física
1105,2025-07-17,PlayStation 5,Consoles,4,4500,18000,Recife,Online
1106,2025-07-24,Notebook Acer Aspire 5,Notebooks,5,3200,16000,Brasília,Loja Física
1107,2025-07-07,PlayStation 5,Consoles,2,4500,9000,Campinas,Online
1108,2025-07-10,PlayStation 5,Consoles,3,4500,13500,Campinas,Online
1109,2025-07-13,"Smart TV 55"" LG",TVs,4,3900,15600,Salvador,Loja Física
1110,2025-07-24,"Smart TV 55"" LG",TVs,1,3900,3900,São Paulo,Online
1111,2025-07-03,"Smart TV 55"" LG",TVs,2,3900,7800,São Paulo,Loja Física
1112,2025-07-11,Smartwatch Apple Watch 9,Smartwatches,2,4100,8200,Fortaleza,Loja Física
1113,2025-07-09,"Smart TV 55"" LG",TVs,3,3900,11700,Campinas,Online
1114,2025-07-17,Tablet Samsung Tab A8,Tablets,4,1500,6000,Brasília,Online
1115,2025-07-10,Tablet Samsung Tab A8,Tablets,5,1500,7500,Belo Horizonte,Loja Física
1116,2025-07-26,Headset Gamer HyperX,Fones de Ouvido,4,600,2400,Porto Alegre,Loja Física
1117,2025-07-19,Tablet Samsung Tab A8,Tablets,1,1500,1500,Belo Horizonte,Loja Física
1118,2025-07-16,Tablet Samsung Tab A8,Tablets,5,1500,7500,Porto Alegre,Online
1119,2025-07-12,Headset Gamer HyperX,Fones de Ouvido,1,600,600,Fortaleza,Loja Física
1120,2025-07-28,Smartwatch Apple Watch 9,Smartwatches,3,4100,12300,Campinas,Online
1121,2025-07-24,Notebook Dell XPS 13,Notebooks,1,8500,8500,Rio de Janeiro,Loja Física
1122,2025-07-07,Headset Gamer HyperX,Fones de Ouvido,5,600,3000,Belo Horizonte,Online
1123,2025-07-26,Monitor LG UltraWide,Monitores,5,1600,8000,São Paulo,Online
1124,2025-07-07,Fone Bluetooth JBL,Fones de Ouvido,2,350,700,Salvador,Loja Física
1125,2025-07-18,PlayStation 5,Consoles,1,4500,4500,Rio de Janeiro,Online
1126,2025-07-30,Headset Gamer HyperX,Fones de Ouvido,4,600,2400,Recife,Loja Física
1127,2025-07-20,Monitor LG UltraWide,Monitores,3,1600,4800,Rio de Janeiro,Loja Física
1128,2025-07-07,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1129,2025-07-26,Smartwatch Apple Watch 9,Smartwatches,4,4100,16400,Porto Alegre,Online
1130,2025-07-08,Notebook Acer Aspire 5,Notebooks,5,3200,16000,Porto Alegre,Loja Física
1131,2025-07-05,Tablet Samsung Tab A8,Tablets,3,1500,4500,Campinas,Online
1132,2025-07-24,Notebook Dell XPS 13,Notebooks,5,8500,42500,Brasília,Online
1133,2025-07-28,Notebook Acer Aspire 5,Notebooks,5,3200,16000,São Paulo,Online
1134,2025-07-10,PlayStation 5,Consoles,5,4500,22500,Recife,Online
1135,2025-07-13,"Smart TV 55"" LG",TVs,1,3900,3900,Belo Horizonte,Loja Física
1136,2025-07-25,Monitor LG UltraWide,Monitores,2,1600,3200,Recife,Loja Física
1137,2025-07-04,Fone Bluetooth JBL,Fones de Ouvido,4,350,1400,Rio de Janeiro,Loja Física
1138,2025-07-21,Notebook Dell XPS 13,Notebooks,2,8500,17000,Curitiba,Loja Física
1139,2025-07-29,Monitor LG UltraWide,Monitores,2,1600,3200,Campinas,Loja Física
1140,2025-07-06,Fone Bluetooth JBL,Fones de Ouvido,1,350,350,Fortaleza,Loja Física
1141,2025-07-02,Fone Bluetooth JBL,Fones de Ouvido,1,350,350,Brasília,Loja Física
1142,2025-07-18,Tablet Samsung Tab A8,Tablets,4,1500,6000,Salvador,Loja Física
1143,2025-07-28,PlayStation 5,Consoles,1,4500,4500,Porto Alegre,Loja Física
1144,2025-07-29,Fone Bluetooth JBL,Fones de Ouvido,5,350,1750,Brasília,Loja Física
1145,2025-07-08,Monitor LG UltraWide,Monitores,1,1600,1600,Rio de Janeiro,Loja Física
1146,2025-07-10,PlayStation 5,Consoles,2,4500,9000,Rio de Janeiro,Online
1147,2025-07-19,Fone Bluetooth JBL,Fones de Ouvido,4,350,1400,Campinas,Loja Física
1148,2025-07-13,Monitor LG UltraWide,Monitores,5,1600,8000,Salvador,Loja Física
1149,2025-07-04,"Smart TV 55"" LG",TVs,5,3900,19500,Recife,Online
1150,2025-07-05,Tablet Samsung Tab A8,Tablets,1,1500,1500,Campinas,Online
